player_name,yr,ht,role,ast_pct,oreb_pct,dreb_pct,drive_ppp,catchshoot_fg3_pct,pullup_fg3_pct,ra_fg_pct,flt_fg_pct,midrange_fg_pct,rim_fg_pct_allowed
Corey Kispert,Sr,79,Wing G,0.12804991006851196,0.022662758827209473,0.10895529389381409,0.9330319166183472,0.37409812211990356,0.32460469007492065,0.6056987643241882,0.3413744568824768,0.4073307514190674,0.6674295663833618
Davion Mitchell,Jr,74,Pure PG,0.23392340540885925,0.013424396514892578,0.10480949282646179,0.7626491189002991,0.3253757953643799,0.3212817311286926,0.5496776700019836,0.404235303401947,0.4477429986000061,0.6168133616447449
Aaron Henry,Jr,78,Wing G,0.2096104919910431,0.0465201735496521,0.11894774436950684,0.8493849039077759,0.36652764678001404,0.34539085626602173,0.5616483092308044,0.33805280923843384,0.4292197525501251,0.6298068761825562
Charles Bassey,Jr,83,C,0.08646836876869202,0.08760130405426025,0.1874181032180786,0.9426713585853577,0.3722136318683624,0.33741718530654907,0.6697167754173279,0.4116406738758087,0.40115392208099365,0.5433086156845093
David Duke,Jr,77,Combo G,0.2096412181854248,0.02520155906677246,0.11473441123962402,0.8563375473022461,0.36097317934036255,0.31340575218200684,0.5956210494041443,0.3549252152442932,0.3634985685348511,0.6637383699417114
Jared Butler,Jr,75,Scoring PG,0.2384561002254486,0.014565199613571167,0.09054595232009888,0.952372670173645,0.37584352493286133,0.33189791440963745,0.5773324966430664,0.3729535937309265,0.42197954654693604,0.6554328799247742
Kessler Edwards,Jr,80,Stretch 4,0.07625466585159302,0.04725003242492676,0.1443570852279663,0.9792543053627014,0.3945785164833069,0.33882713317871094,0.6246019601821899,0.40177780389785767,0.4040043354034424,0.6032204627990723
Ayo Dosunmu,Jr,77,Combo G,0.22442340850830078,0.0255964994430542,0.11050358414649963,0.8922997117042542,0.37729406356811523,0.322437047958374,0.5812596678733826,0.39499691128730774,0.4030531644821167,0.661824643611908
Joel Ayayi,Jr,77,Wing G,0.17288744449615479,0.028904348611831665,0.11391037702560425,0.9549418687820435,0.35496437549591064,0.3380624055862427,0.6159361600875854,0.3548922538757324,0.39269983768463135,0.7027601003646851
James Bouknight,So,77,Wing G,0.11662942171096802,0.025888800621032715,0.12997391819953918,0.8725413084030151,0.377508282661438,0.29452845454216003,0.5589894652366638,0.37636396288871765,0.4103677570819855,0.6716469526290894
Franz Wagner,So,81,Wing F,0.2124842405319214,0.0334431529045105,0.1730591356754303,0.9212666153907776,0.3389217257499695,0.3127272129058838,0.5988346934318542,0.38010457158088684,0.39704492688179016,0.6189347505569458
Nah'Shon Hyland,So,75,Combo G,0.1289348304271698,0.020360708236694336,0.11172860860824585,0.8632655143737793,0.37410128116607666,0.318943053483963,0.554574191570282,0.33233511447906494,0.3730904459953308,0.6531119346618652
Chris Duarte,Sr,78,Wing G,0.14026865363121033,0.029083430767059326,0.09952262043952942,0.9085347652435303,0.36351004242897034,0.3171112835407257,0.6141982078552246,0.3976958990097046,0.41325610876083374,0.657031774520874
Tre Mann,So,77,Wing G,0.14588358998298645,0.01804250478744507,0.10613343119621277,0.8983734250068665,0.391303151845932,0.31634414196014404,0.6092531085014343,0.4444133937358856,0.41543880105018616,0.6724027395248413
Matthew Hurt,So,81,Stretch 4,0.1219666600227356,0.016691923141479492,0.1462341845035553,0.986423134803772,0.3745594024658203,0.32770535349845886,0.6434882283210754,0.3921753764152527,0.43336790800094604,0.6061670780181885
Miles McBride,So,74,Scoring PG,0.23294255137443542,0.022107839584350586,0.07940733432769775,0.8738044500350952,0.40564006567001343,0.3191967010498047,0.5838431715965271,0.46204739809036255,0.3897678256034851,0.6520214080810547
Max Abmas,So,73,Scoring PG,0.18912214040756226,0.030788689851760864,0.08711805939674377,0.8953058123588562,0.40595829486846924,0.3182322084903717,0.5603259205818176,0.42680788040161133,0.4087093472480774,0.6479440331459045
Jeremiah Robinson-Earl,So,81,Stretch 4,0.14352485537528992,0.023488342761993408,0.1536949872970581,0.9725029468536377,0.30608031153678894,0.2854229509830475,0.612589418888092,0.3932887017726898,0.3936956524848938,0.5978619456291199
Kai Jones,So,83,PF/C,0.06529271602630615,0.046798527240753174,0.191311776638031,0.8467272520065308,0.33619624376296997,0.33613914251327515,0.6553375720977783,0.3763999342918396,0.37519213557243347,0.5417196154594421
Cade Cunningham,Fr,80,Wing F,0.1937858760356903,0.027135133743286133,0.12910744547843933,0.8225032091140747,0.39127132296562195,0.34192389249801636,0.5764904022216797,0.3748668432235718,0.37003642320632935,0.6289066076278687
Scottie Barnes,Fr,81,Scoring PG,0.22217532992362976,0.03353145718574524,0.1141224205493927,0.9006786346435547,0.36830925941467285,0.2940293848514557,0.6059447526931763,0.356089323759079,0.345848023891449,0.5906580686569214
Josh Christopher,Fr,77,Wing G,0.12279382348060608,0.02163553237915039,0.1084165871143341,0.8987562656402588,0.39525309205055237,0.2998759150505066,0.6242168545722961,0.3877248167991638,0.3807816803455353,0.6722486615180969
Sharife Cooper,Fr,73,Pure PG,0.2464321255683899,0.019989013671875,0.10147380828857422,0.8740407228469849,0.3839159607887268,0.283634752035141,0.5388355851173401,0.3413541316986084,0.4366684854030609,0.6579601764678955
Ziaire Williams,Fr,80,Wing F,0.14925053715705872,0.01997581124305725,0.12969312071800232,0.8902405500411987,0.3605891466140747,0.29870861768722534,0.6329567432403564,0.3566911816596985,0.3983023464679718,0.5977047681808472
Marcus Bagley,Fr,80,Stretch 4,0.08233705163002014,0.026452869176864624,0.11745038628578186,0.9088703393936157,0.3442390561103821,0.32247084379196167,0.647669792175293,0.42510902881622314,0.3987671434879303,0.6074216365814209
Jalen Suggs,Fr,76,Combo G,0.23736757040023804,0.0822087824344635,0.12494069337844849,0.9063725471496582,0.3749948740005493,0.3138243556022644,0.6003909111022949,0.385947585105896,0.39478445053100586,0.6458857655525208
Evan Mobley,Fr,84,C,0.16456836462020874,0.09736871719360352,0.1972450315952301,1.0104783773422241,0.3063417673110962,0.3011948764324188,0.7175999879837036,0.3995802104473114,0.413880854845047,0.5252989530563354
Moses Moody,Fr,78,Wing G,0.08890816569328308,0.02523764967918396,0.10222509503364563,0.9503231644630432,0.3734269142150879,0.3296310305595398,0.610913097858429,0.3461216688156128,0.41468870639801025,0.6511803865432739
Jalen Johnson,Fr,81,PF/C,0.14008474349975586,0.038194119930267334,0.18643108010292053,0.9096250534057617,0.4131418466567993,0.35257282853126526,0.6614338755607605,0.3991090655326843,0.3339487910270691,0.5628801584243774
Jaden Springer,Fr,76,Combo G,0.15368354320526123,0.025462061166763306,0.0962347686290741,0.99282073974609375,0.3770996034145355,0.34761661291122437,0.6062663197517395,0.3891940712928772,0.4178023934364319,0.640705943107605
Cameron Thomas,Fr,76,Wing G,0.08360728621482849,0.030887722969055176,0.09238749742507935,0.933148980140686,0.39021721482276917,0.3638012111186981,0.61003577709198,0.42425626516342163,0.400413453578949,0.6514320373535156
Day'Ron Sharpe,Fr,83,C,0.08566287159919739,0.09575921297073364,0.1799665093421936,0.890529215335846,0.3927183747291565,0.3068290650844574,0.6124453544616699,0.46085017919540405,0.3379558026790619,0.5424856543540955
Isaiah Jackson,Fr,82,C,0.07357069849967957,0.0800580382347107,0.23363643884658813,0.9341586828231812,0.35699462890625,0.2991931736469269,0.6433889269828796,0.3609964847564697,0.3760095536708832,0.5416121482849121
Keon Johnson,Fr,77,Wing G,0.16764506697654724,0.021727055311203003,0.09688347578048706,0.9083271622657776,0.33083200454711914,0.30623936653137207,0.5773859024047852,0.35869038105010986,0.38953953981399536,0.6541398763656616
